year,code,name,大数据
2017,sz002612,朗姿股份,1
2017,sz000860,顺鑫农业,0
2017,sz000958,东方能源,0
2017,sz600343,航天动力,0
2017,sz600973,宝胜股份,0
2017,sz300273,和佳股份,1
2017,sz000016,深康佳Ａ,1
2017,sz600278,东方创业,0
2017,sz600833,第一医药,0
2017,sz601933,永辉超市,0
2017,sz300375,鹏翎股份,0
2017,sz002289,宇顺电子,0
2017,sz600085,同仁堂,0
2017,sz600757,长江传媒,1
2017,sz002061,浙江交科,0
2017,sz603928,兴业股份,1
2017,sz002742,三圣股份,0
2017,sz600647,同达创业,0
2017,sz600061,国投资本,1
2017,sz600200,江苏吴中,0
2017,sz600493,凤竹纺织,0
2017,sz600561,江西长运,1
2017,sz600605,汇通能源,0
2017,sz600616,金枫酒业,0
2017,sz600689,上海三毛,0
2017,sz600846,同济科技,0
2017,sz601000,唐山港,0
2017,sz900953,凯马Ｂ,0
2017,sz002032,苏 泊 尔,0
2017,sz300305,裕兴股份,0
2017,sz000544,中原环保,1
2017,sz002109,兴化股份,0
2017,sz000531,穗恒运Ａ,0
2017,sz300215,电科院,0
2017,sz002799,环球印务,0
2017,sz002184,海得控制,1
2017,sz002598,山东章鼓,0
2017,sz002561,徐家汇,1
2017,sz000722,湖南发展,0
2017,sz603636,南威软件,1
2017,sz603580,艾艾精工,0
2017,sz603556,海兴电力,1
2017,sz603081,大丰实业,0
2017,sz601992,金隅集团,0
2017,sz601991,大唐发电,0
2017,sz601919,中远海控,1
2017,sz601828,美凯龙,1
2017,sz601800,中国交建,1
2017,sz601601,中国太保,1
2017,sz600958,东方证券,1
2017,sz600803,新奥股份,0
2017,sz600754,锦江股份,0
2017,sz600663,陆家嘴,1
2017,sz600611,大众交通,1
2017,sz600016,民生银行,1
2017,sz900939,汇丽B,0
2017,sz603993,洛阳钼业,0
2017,sz603800,道森股份,0
2017,sz601866,中远海发,0
2017,sz601717,郑煤机,0
2017,sz601390,中国中铁,0
2017,sz601038,一拖股份,1
2017,sz601018,宁波港,0
2017,sz600767,*ST运盛,0
2017,sz600744,华银电力,0
2017,sz600735,新华锦,0
2017,sz600658,电子城,1
2017,sz600635,大众公用,1
2017,sz600576,祥源文化,0
2017,sz600536,中国软件,1
2017,sz600422,昆药集团,0
2017,sz600403,*ST大有,0
2017,sz600320,振华重工,1
2017,sz600115,东方航空,1
2017,sz600416,湘电股份,0
2017,sz600643,爱建集团,0
2017,sz601375,中原证券,1
2017,sz601727,上海电气,1
2017,sz603089,正裕工业,0
2017,sz603186,华正新材,1
2017,sz603721,中广天择,0
2017,sz603883,老百姓,1
2017,sz600340,华夏幸福,1
2017,sz600769,祥龙电业,0
2017,sz600784,鲁银投资,0
2017,sz603030,全筑股份,1
2017,sz603096,新经典,0
2017,sz600163,中闽能源,0
2017,sz600549,厦门钨业,0
2017,sz600685,中船防务,0
2017,sz600750,江中药业,1
2017,sz600775,南京熊猫,1
2017,sz600908,无锡银行,1
2017,sz601328,交通银行,0
2017,sz603098,森特股份,0
2017,sz603309,维力医疗,0
2017,sz603607,京华激光,0
2017,sz603938,三孚股份,0
2017,sz000585,东北电气,0
2017,sz600396,金山股份,0
2017,sz600582,天地科技,0
2017,sz601618,中国中冶,0
2017,sz601988,中国银行,0
2017,sz601988,中国银行,1
2017,sz600438,通威股份,1
2017,sz600452,涪陵电力,0
2017,sz600707,彩虹股份,0
2017,sz600875,东方电气,0
2017,sz601326,秦港股份,1
2017,sz002700,新疆浩源,0
2017,sz002624,完美世界,0
2017,sz002917,金奥博,1
2017,sz002429,兆驰股份,1
2017,sz300523,辰安科技,1
2017,sz002896,中大力德,0
2017,sz002786,银宝山新,1
2017,sz600187,国中水务,0
2017,sz600382,广东明珠,1
2017,sz002880,卫光生物,0
2017,sz601028,玉龙股份,0
2017,sz603879,永悦科技,0
2017,sz300455,康拓红外,0
2017,sz300692,中环环保,0
2017,sz002303,美盈森,0
2017,sz002925,盈趣科技,1
2017,sz300427,红相股份,1
2017,sz300516,久之洋,0
2017,sz300445,康斯特,0
2017,sz300018,中元股份,1
2017,sz300575,中旗股份,0
2017,sz002241,歌尔股份,1
2017,sz600068,葛洲坝,1
2017,sz600101,明星电力,0
2017,sz600259,广晟有色,0
2017,sz002482,广田集团,1
2017,sz002631,德尔未来,1
2017,sz300684,中石科技,0
2017,sz300653,正海生物,1
2017,sz002049,紫光国芯,1
2017,sz600008,首创股份,1
2017,sz601016,节能风电,0
2017,sz300479,神思电子,1
2017,sz300327,中颖电子,0
2017,sz002334,英威腾,1
2017,sz002815,崇达技术,0
2017,sz000798,中水渔业,0
2017,sz000928,中钢国际,0
2017,sz600893,航发动力,1
2017,sz601186,中国铁建,0
2017,sz603667,五洲新春,0
2017,sz603757,大元泵业,0
2017,sz000705,浙江震元,0
2017,sz300722,新余国科,0
2017,sz002821,凯莱英,0
2017,sz002428,云南锗业,0
2017,sz300562,乐心医疗,1
2017,sz600125,铁龙物流,0
2017,sz601918,新集能源,0
2017,sz603042,华脉科技,1
2017,sz002017,东信和平,1
2017,sz002367,康力电梯,1
2017,sz000698,沈阳化工,1
2017,sz600022,山东钢铁,0
2017,sz600059,古越龙山,1
2017,sz000920,南方汇通,1
2017,sz600724,宁波富达,0
2017,sz601225,陕西煤业,0
2017,sz002211,宏达新材,0
2017,sz300222,科大智能,1
2017,sz002037,久联发展,0
2017,sz601211,国泰君安,0
2017,sz002114,罗平锌电,0
2017,sz002533,金杯电工,0
2017,sz600621,华鑫股份,0
2017,sz601107,四川成渝,0
2017,sz601238,广汽集团,0
2017,sz300528,幸福蓝海,0
2017,sz002457,青龙管业,0
2017,sz002053,云南能投,1
2017,sz600252,中恒集团,0
2017,sz600805,悦达投资,0
2017,sz300406,九强生物,0
2017,sz000011,深物业A,0
2017,sz002770,科迪乳业,0
2017,sz600104,上汽集团,1
2017,sz600235,民丰特纸,0
2017,sz600249,两面针,0
2017,sz300480,光力科技,0
2017,sz002480,新筑股份,0
2017,sz000151,中成股份,0
2017,sz000921,海信科龙,0
2017,sz002409,雅克科技,0
2017,sz002238,天威视讯,1
2017,sz002302,西部建设,0
2017,sz000541,佛山照明,0
2017,sz300619,金银河,1
2017,sz000502,绿景控股,0
2017,sz002396,星网锐捷,1
2017,sz002079,苏州固锝,0
2017,sz300282,汇冠股份,1
2017,sz300403,地尔汉宇,0
2017,sz600218,全柴动力,0
2017,sz600258,首旅酒店,0
2017,sz002248,*ST东数,0
2017,sz300026,红日药业,0
2017,sz300229,拓尔思,1
2017,sz002423,中原特钢,0
2017,sz002208,合肥城建,0
2017,sz600571,信雅达,1
2017,sz000959,首钢股份,0
2017,sz000006,深振业Ａ,1
2017,sz603528,多伦科技,1
2017,sz603656,泰禾光电,0
2017,sz603698,航天工程,0
2017,sz000686,东北证券,1
2017,sz600889,南京化纤,0
2017,sz603336,宏辉果蔬,0
2017,sz300328,宜安科技,0
2017,sz600272,开开实业,1
2017,sz600283,钱江水利,0
2017,sz600426,华鲁恒升,0
2017,sz600692,亚通股份,1
2017,sz600885,宏发股份,0
2017,sz603002,宏昌电子,0
2017,sz000559,万向钱潮,1
2017,sz000591,太阳能,0
2017,sz000936,华西股份,1
2017,sz000875,吉电股份,0
2017,sz002166,莱茵生物,0
2017,sz002888,惠威科技,0
2017,sz000677,恒天海龙,0
2017,sz000551,创元科技,0
2017,sz603933,睿能科技,1
2017,sz900929,锦旅Ｂ股,0
2017,sz600026,中远海能,1
2017,sz600362,江西铜业,0
2017,sz603278,大业股份,0
2017,sz603398,邦宝益智,1
2017,sz603839,安正时尚,1
2017,sz603929,亚翔集成,0
2017,sz300117,嘉寓股份,0
2017,sz600725,ST云维,0
2017,sz601811,新华文轩,1
2017,sz601828,美凯龙,1
2017,sz600593,大连圣亚,1
2017,sz600116,三峡水利,0
2017,sz601766,中国中车,1
2017,sz000662,天夏智慧,1
2017,sz600279,重庆港九,1
2017,sz601012,隆基股份,0
2017,sz603166,福达股份,0
2017,sz002400,省广股份,1
2017,sz600650,锦江投资,0
2017,sz600962,国投中鲁,1
2017,sz603108,润达医疗,0
2017,sz002142,宁波银行,1
2017,sz002910,庄园牧场,1
2017,sz002401,中远海科,1
2017,sz002230,科大讯飞,1
2017,sz300548,博创科技,0
2017,sz002860,星帅尔,0
2017,sz000034,神州数码,1
2017,sz300205,天喻信息,1
2017,sz000338,潍柴动力,1
2017,sz002771,真视通,1
2017,sz002178,延华智能,1
2017,sz600223,鲁商置业,0
2017,sz600521,华海药业,0
2017,sz300579,数字认证,1
2017,sz601818,光大银行,1
2017,sz601881,中国银河,0
2017,sz000159,国际实业,0
2017,sz000555,神州信息,1
2017,sz000045,深纺织Ａ,0
2017,sz600273,嘉化能源,0
2017,sz601333,广深铁路,0
2017,sz601636,旗滨集团,0
2017,sz300378,鼎捷软件,1
2017,sz600251,冠农股份,1
2017,sz600495,晋西车轴,0
2017,sz300349,金卡智能,1
2017,sz300036,超图软件,1
2017,sz002039,黔源电力,0
2017,sz600392,盛和资源,0
2017,sz600488,天药股份,0
2017,sz002410,广联达,1
2017,sz002392,北京利尔,0
2017,sz300705,九典制药,0
2017,sz601688,华泰证券,1
2017,sz000029,深深房Ａ,0
2017,sz600328,兰太实业,1
2017,sz600583,海油工程,0
2017,sz600604,市北高新,1
2017,sz600790,轻纺城,0
2017,sz603663,三祥新材,0
2017,sz600458,时代新材,0
2017,sz601555,东吴证券,1
2017,sz600060,海信电器,0
2017,sz000880,潍柴重机,0
2017,sz000553,沙隆达Ａ,0
2017,sz000949,新乡化纤,0
2017,sz300567,精测电子,0
2017,sz000719,中原传媒,1
2017,sz600665,天地源,0
2017,sz600716,凤凰股份,0
2017,sz600741,华域汽车,0
2017,sz600109,国金证券,0
2017,sz600835,上海机电,1
2017,sz002643,万润股份,0
2017,sz000014,沙河股份,0
2017,sz300346,南大光电,0
